,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
168,169,Fahid Ben Khalfallah,27,€5.00m,10/11,"Tunisia, France",€4.50m,Right Winger,Valenciennes FC,Ligue 1,G. Bordeaux,Ligue 1,False,4.5
169,170,Marco Storari,33,€1.50m,10/11,Italy,€4.50m,Goalkeeper,AC Milan,Serie A,Juventus,Serie A,False,4.5
170,171,Jardel,24,€200k,10/11,"Brazil, Portugal",€4.48m,Centre-Back,Desp. Brasil,Brazil,Benfica,Liga ZON Sagres,False,4.48
171,172,Massimo Maccarone,30,€4.50m,10/11,Italy,€4.40m,Centre-Forward,AC Siena,Serie B,US Palermo,Serie A,False,4.4
172,173,Alberto Paloschi,21,€5.00m,10/11,Italy,€4.35m,Centre-Forward,Parma,Serie A,Genoa,Serie A,False,4.35
173,174,Aritz Aduriz,29,€7.00m,10/11,Spain,€4.30m,Centre-Forward,RCD Mallorca,LaLiga,Valencia,LaLiga,False,4.3
174,175,Adriano,29,€1.00m,10/11,Brazil,€4.30m,Centre-Forward,Gamba Osaka,J.League Div.1,El-Jaish,Qatar,False,4.3
175,176,Cheik Tioté,24,€3.50m,10/11,Cote d'Ivoire,€4.28m,Defensive Midfield,Twente FC,Eredivisie,Newcastle,Premier League,False,4.28
176,177,Juanfran Torres,26,€6.00m,10/11,Spain,€4.25m,Right-Back,CA Osasuna,LaLiga,Atlético,LaLiga,False,4.25
177,178,Jonathan Biabiany,22,€7.50m,10/11,"France, Guadeloupe",€4.20m,Right Winger,Parma,Serie A,Inter,Serie A,False,4.2
178,179,Jajá,24,€6.00m,10/11,Brazil,€4.20m,Centre-Forward,Metalist Kharkiv,Premier Liga,Trabzonspor,Süper Lig,False,4.2
179,180,Nadir Belhadj,28,€5.50m,10/11,"Algeria, France",€4.20m,Left-Back,Portsmouth,Championship,Al-Sadd,Stars League,False,4.2
180,181,Paul Konchesky,29,€4.00m,10/11,England,€4.20m,Left-Back,Fulham,Premier League,Liverpool,Premier League,False,4.2
181,182,Éder,23,€3.00m,10/11,"Italy, Brazil",€4.20m,Centre-Forward,FC Empoli,Serie B,Brescia,Serie A,False,4.2
182,183,Winston Reid,22,€1.50m,10/11,"New Zealand, Denmark",€4.20m,Centre-Back,Midtjylland,Superliga,West Ham,Premier League,False,4.2
183,184,Federico Rodríguez,19,€300k,10/11,"Uruguay, Spain",€4.20m,Centre-Forward,Peñarol,Liga AUF Clausura,Genoa,Serie A,False,4.2
184,185,Emmanuel Adebayor,26,€23.00m,10/11,"Togo, Nigeria","Loan fee:
€4.00m",Centre-Forward,Man City,Premier League,Real Madrid,LaLiga,True,4.0
185,186,Rod Fanni,29,€7.50m,10/11,"France, Benin",€4.00m,Right-Back,Stade Rennais,Ligue 1,Marseille,Ligue 1,False,4.0
186,187,Dmitriy Kombarov,23,€5.00m,10/11,Russia,€4.00m,Left-Back,Dinamo Moscow,Premier Liga,Spartak Moscow,Premier Liga,False,4.0
187,188,Onyekachi Apam,23,€5.00m,10/11,"Nigeria, France",€4.00m,Centre-Back,Nice,Ligue 1,Stade Rennais,Ligue 1,False,4.0
188,189,Mario Bolatti,25,€5.00m,10/11,"Argentina, Italy",€4.00m,Defensive Midfield,Fiorentina,Serie A,Internacional,Série A,False,4.0
189,190,Nicolás Otamendi,22,€5.00m,10/11,Argentina,€4.00m,Centre-Back,Vélez Sarsfield,Clausura,Porto,Liga ZON Sagres,False,4.0
190,191,Curtis Davies,25,€4.50m,10/11,"Sierra Leone, England",€4.00m,Centre-Back,Aston Villa,Premier League,Birmingham,Premier League,False,4.0
191,192,Igor de Camargo,27,€4.50m,10/11,"Belgium, Brazil",€4.00m,Centre-Forward,Standard Liège,JPL,Mönchengladbach,Bundesliga,False,4.0
192,193,Maicosuel,24,€4.50m,10/11,Brazil,€4.00m,Attacking Midfield,Hoffenheim,Bundesliga,Botafogo,Série A,False,4.0
193,194,Kirill Kombarov,23,€4.50m,10/11,Russia,€4.00m,Right-Back,Dinamo Moscow,Premier Liga,Spartak Moscow,Premier Liga,False,4.0
194,195,Mémé Tchité,26,€4.00m,10/11,"Burundi, Rwanda",€4.00m,Centre-Forward,Racing,LaLiga,Standard Liège,JPL,False,4.0
195,196,Daniele Dessena,23,€3.75m,10/11,Italy,€4.00m,Central Midfield,Cagliari,Serie A,Sampdoria,Serie A,False,4.0
196,197,Alessio Cerci,23,€3.50m,10/11,Italy,€4.00m,Right Winger,Roma,Serie A,Fiorentina,Serie A,False,4.0
197,198,Cléo,25,€3.50m,10/11,"Brazil, Serbia",€4.00m,Centre-Forward,Partizan,Jelen SuperLiga,GZ Evergrande,Super League,False,4.0
198,199,Ronnie Stam,26,€3.50m,10/11,Netherlands,€4.00m,Right-Back,Twente FC,Eredivisie,Wigan,Premier League,False,4.0
199,200,Mauro Formica,22,€3.50m,10/11,"Argentina, Italy",€4.00m,Attacking Midfield,Newell's,Clausura,Blackburn,Premier League,False,4.0
200,201,Ivan Strinic,23,€3.00m,10/11,Croatia,€4.00m,Left-Back,Hajduk Split,SuperSport HNL,Dnipro,Premier Liga,False,4.0
201,202,Wilfried Bony,22,€2.50m,10/11,"Cote d'Ivoire, England",€4.00m,Centre-Forward,Sparta Prague,Gambrinus Liga,Vitesse,Eredivisie,False,4.0
202,203,Juraj Kucka,23,€2.30m,10/11,Slovakia,€4.00m,Central Midfield,Sparta Prague,Gambrinus Liga,Genoa,Serie A,False,4.0
203,204,Sebastian Rudy,20,€1.50m,10/11,Germany,€4.00m,Defensive Midfield,Stuttgart,Bundesliga,Hoffenheim,Bundesliga,False,4.0
204,205,Dídac Vilà,21,€800k,10/11,Spain,€4.00m,Left-Back,Espanyol,LaLiga,AC Milan,Serie A,False,4.0
205,206,Wellington Silva,18,€800k,10/11,"Brazil, Spain",€4.00m,Right Winger,Fluminense,Série A,Arsenal,Premier League,False,4.0
206,207,Marco Fossati,17,€300k,10/11,Italy,€4.00m,Defensive Midfield,Inter Youth,Italy,Milan U19,Primavera B,False,4.0
207,208,Alípio,18,-,10/11,"Brazil, Portugal",€4.00m,Centre-Forward,Real Madrid U17,Spain,Benfica U19,Portugal,False,4.0
208,209,Roberto Firmino,19,-,10/11,Brazil,€4.00m,Centre-Forward,Tombense,Brazil,Hoffenheim,Bundesliga,False,4.0
209,210,Cristian Molinaro,26,€5.00m,10/11,Italy,€3.90m,Left-Back,Juventus,Serie A,Stuttgart,Bundesliga,False,3.9
210,211,Damián Álvarez,32,€2.30m,10/11,"Mexico, Argentina",€3.90m,Left Winger,Pachuca,Primera Apertura,Tigres UANL,Primera Apertura,False,3.9
211,212,Marcelo,23,€3.20m,10/11,Brazil,€3.80m,Centre-Back,Wisla Kraków,Ekstraklasa,PSV,Eredivisie,False,3.8
212,213,Marek Suchy,22,€2.50m,10/11,Czech Republic,€3.80m,Centre-Back,Slavia Praha,Gambrinus Liga,Spartak Moscow,Premier Liga,False,3.8
213,214,Lorenzo Ariaudo,21,€1.30m,10/11,Italy,€3.80m,Centre-Back,Juventus,Serie A,Cagliari,Serie A,False,3.8
214,215,Matteo Ardemagni,23,€1.10m,10/11,Italy,€3.80m,Centre-Forward,Cittadella,Serie B,Atalanta,Serie B,False,3.8
215,216,Yekta Kurtuluş,25,€3.00m,10/11,Türkiye,€3.75m,Central Midfield,Kasimpasa,Süper Lig,Galatasaray,Süper Lig,False,3.75
216,217,Mauro Boselli,25,€7.50m,10/11,"Argentina, Mexico",€3.70m,Centre-Forward,Estudiantes LP,Clausura,Wigan,Premier League,False,3.7
217,218,Steven Pienaar,28,€9.50m,10/11,South Africa,€3.60m,Left Midfield,Everton,Premier League,Tottenham,Premier League,False,3.6
218,219,Stephen Hunt,28,€5.00m,10/11,Ireland,€3.60m,Left Midfield,Hull City,Championship,Wolves,Premier League,False,3.6
219,220,Cleiton Xavier,27,€4.00m,10/11,Brazil,€3.60m,Attacking Midfield,Desp. Brasil,Brazil,Metalist Kharkiv,Premier Liga,False,3.6
220,221,Facundo Bertoglio,20,€4.00m,10/11,"Argentina, Italy",€3.60m,Attacking Midfield,Colon,Clausura,Dynamo Kyiv,Premier Liga,False,3.6
221,222,Marc Wilson,23,€2.50m,10/11,"Ireland, Northern Ireland",€3.60m,Centre-Back,Portsmouth,Championship,Stoke City,Premier League,False,3.6
222,223,Wagner,25,€2.00m,10/11,Brazil,€3.60m,Attacking Midfield,Loko Moskau,Premier Liga,Gaziantepspor,Süper Lig,False,3.6
223,224,Martyn Waghorn,20,€900k,10/11,England,€3.60m,Centre-Forward,Sunderland,Premier League,Leicester,Championship,False,3.6
224,225,Sebastián Fernández,25,€2.50m,10/11,"Uruguay, Spain",€3.60m,Second Striker,Banfield,Clausura,Málaga CF,LaLiga,False,3.6
225,226,Danilinho,23,€5.00m,10/11,"Brazil, Mexico",€3.50m,Right Winger,Jaguares,Primera Apertura,Tigres UANL,Primera Apertura,False,3.5
226,227,Jeremain Lens,22,€4.50m,10/11,"Netherlands, Suriname",€3.50m,Right Winger,AZ Alkmaar,Eredivisie,PSV,Eredivisie,False,3.5
227,228,Jelle Van Damme,27,€4.50m,10/11,Belgium,€3.50m,Centre-Back,Wolves,Premier League,Standard Liège,JPL,False,3.5
228,229,Bakari Koné,28,€4.00m,10/11,"Cote d'Ivoire, France",€3.50m,Right Winger,Marseille,Ligue 1,Lekhwiya SC,Stars League,False,3.5
229,230,Nelson Valdez,26,€4.00m,10/11,Paraguay,€3.50m,Centre-Forward,Dortmund,Bundesliga,Hércules CF,LaLiga,False,3.5
230,231,Georg Niedermeier,24,€3.00m,10/11,Germany,€3.50m,Centre-Back,FC Bayern II,3. Liga,Stuttgart,Bundesliga,False,3.5
231,232,Emir Bajrami,22,€3.00m,10/11,"Sweden, Kosovo",€3.50m,Right Winger,Elfsborg,Allsvenskan,Twente FC,Eredivisie,False,3.5
232,233,Arouca,23,€2.50m,10/11,Brazil,€3.50m,Defensive Midfield,São Paulo,Série A,Santos,Série A,False,3.5
233,234,Ismael Sosa,23,€2.50m,10/11,Argentina,€3.50m,Centre-Forward,Independiente,Clausura,Gaziantepspor,Süper Lig,False,3.5
234,235,Anthony Modeste,22,€2.30m,10/11,"France, Martinique",€3.50m,Centre-Forward,Nice,Ligue 1,G. Bordeaux,Ligue 1,False,3.5
235,236,Neto,21,€1.80m,10/11,"Brazil, Italy",€3.50m,Goalkeeper,Atlético-PR,Série A,Fiorentina,Serie A,False,3.5
236,237,Alan,21,€1.50m,10/11,"China, Brazil",€3.50m,Centre-Forward,Desp. Brasil,Brazil,Salzburg,Bundesliga,False,3.5
237,238,Salomón Rondón,20,€1.00m,10/11,Venezuela,€3.50m,Centre-Forward,UD Las Palmas,2ª División,Málaga CF,LaLiga,False,3.5
238,239,Edinho,27,€2.50m,10/11,Brazil,€3.40m,Defensive Midfield,Palmeiras,Série A,Fluminense,Série A,False,3.4
239,240,Marco Torsiglieri,22,€700k,10/11,"Argentina, Italy",€3.40m,Centre-Back,Vélez Sarsfield,Clausura,Sporting,Liga ZON Sagres,False,3.4
240,241,Gastón Ramírez,19,€700k,10/11,Uruguay,€3.36m,Central Midfield,Peñarol,Liga AUF Clausura,Bologna,Serie A,False,3.36
241,242,Antonio Cassano,28,€18.50m,10/11,Italy,€3.30m,Second Striker,Sampdoria,Serie A,AC Milan,Serie A,False,3.3
242,243,Gary Medel,23,€5.00m,10/11,"Chile, Spain",€3.30m,Centre-Back,U. Católica,Torneo Clausura,Sevilla FC,LaLiga,False,3.3
243,244,Jaime Valdés,29,€4.00m,10/11,Chile,€3.30m,Central Midfield,Atalanta,Serie B,Sporting,Liga ZON Sagres,False,3.3
244,245,Jonathan Walters,26,€1.75m,10/11,"Ireland, England",€3.30m,Right Winger,Ipswich,Championship,Stoke City,Premier League,False,3.3
245,246,Jelle Van Damme,26,€4.50m,10/11,Belgium,€3.25m,Centre-Back,RSC Anderlecht,JPL,Wolves,Premier League,False,3.25
246,247,Francesco Acerbi,23,€3.00m,10/11,Italy,€3.20m,Centre-Back,Reggina,Serie B,Genoa,Serie A,False,3.2
247,248,Giovanni Moreno,24,€2.00m,10/11,Colombia,€3.20m,Attacking Midfield,Atl. Nacional,Liga DIMAYOR II,Racing Club,Clausura,False,3.2
248,249,Luis Jiménez,26,€4.00m,10/11,"Chile, Italy",€3.18m,Attacking Midfield,Inter,Serie A,Ternana,Lega Pro 1 - B,False,3.18
249,250,Maksym Koval,17,€700k,10/11,Ukraine,€3.10m,Goalkeeper,Metalurg Z.,Premier Liga,Dynamo Kyiv,Premier Liga,False,3.1
250,1,Javier Pastore,22,€21.00m,11/12,"Argentina, Italy",€42.00m,Attacking Midfield,US Palermo,Serie A,PSG,Ligue 1,False,42.0
251,2,Sergio Agüero,23,€36.00m,11/12,"Argentina, Spain",€40.00m,Centre-Forward,Atlético,LaLiga,Man City,Premier League,False,40.0
252,3,Radamel Falcao,25,€25.00m,11/12,"Colombia, Venezuela",€40.00m,Centre-Forward,Porto,Liga ZON Sagres,Atlético,LaLiga,False,40.0
253,4,Cesc Fàbregas,24,€54.00m,11/12,Spain,€34.00m,Central Midfield,Arsenal,Premier League,Barcelona,LaLiga,False,34.0
254,5,Manuel Neuer,25,€28.00m,11/12,Germany,€30.00m,Goalkeeper,FC Schalke 04,Bundesliga,Bayern Munich,Bundesliga,False,30.0
255,6,Fábio Coentrão,23,€24.00m,11/12,Portugal,€30.00m,Left-Back,Benfica,Liga ZON Sagres,Real Madrid,LaLiga,False,30.0
256,7,Samir Nasri,24,€26.00m,11/12,"France, Algeria",€27.50m,Attacking Midfield,Arsenal,Premier League,Man City,Premier League,False,27.5
257,8,Samuel Eto'o,30,€42.00m,11/12,"Cameroon, Spain",€27.00m,Centre-Forward,Inter,Serie A,Anzhi,Russia,False,27.0
258,9,Juan Mata,23,€26.00m,11/12,Spain,€26.70m,Attacking Midfield,Valencia,LaLiga,Chelsea,Premier League,False,26.7
259,10,Alexis Sánchez,22,€25.00m,11/12,Chile,€26.00m,Centre-Forward,Udinese,Serie A,Barcelona,LaLiga,False,26.0
260,11,David de Gea,20,€12.00m,11/12,Spain,€25.00m,Goalkeeper,Atlético,LaLiga,Man Utd,Premier League,False,25.0
261,12,Zlatan Ibrahimović,29,€35.00m,11/12,"Sweden, Bosnia-Herzegovina",€24.00m,Centre-Forward,Barcelona,LaLiga,AC Milan,Serie A,False,24.0
262,13,Santi Cazorla,26,€18.00m,11/12,Spain,€23.00m,Central Midfield,Villarreal,LaLiga,Málaga CF,LaLiga,False,23.0
263,14,Stewart Downing,26,€12.00m,11/12,England,€22.80m,Left Midfield,Aston Villa,Premier League,Liverpool,Premier League,False,22.8
264,15,Stephan El Shaarawy,18,€7.00m,11/12,"Italy, Egypt",€20.30m,Left Winger,Genoa,Serie A,AC Milan,Serie A,False,20.3
265,16,Phil Jones,19,€3.50m,11/12,England,€19.30m,Centre-Back,Blackburn,Premier League,Man Utd,Premier League,False,19.3
266,17,Balázs Dzsudzsák,25,€14.00m,11/12,Hungary,€19.00m,Attacking Midfield,Anzhi,Russia,Dinamo Moscow,Russia,False,19.0
267,18,Ashley Young,25,€18.00m,11/12,"England, Jamaica",€18.00m,Right-Back,Aston Villa,Premier League,Man Utd,Premier League,False,18.0
268,19,Gökhan Inler,27,€15.00m,11/12,"Switzerland, Türkiye",€18.00m,Defensive Midfield,Udinese,Serie A,Napoli,Serie A,False,18.0
269,20,Jordan Henderson,21,€8.50m,11/12,England,€18.00m,Defensive Midfield,Sunderland,Premier League,Liverpool,Premier League,False,18.0
270,21,Erik Lamela,19,€5.00m,11/12,"Argentina, Spain",€17.00m,Right Winger,River Plate,Prim. B Nacional,Roma,Serie A,False,17.0
271,22,Daniel Osvaldo,25,€10.00m,11/12,"Italy, Argentina",€16.00m,Centre-Forward,Espanyol,LaLiga,Roma,Serie A,False,16.0
272,23,Alessandro Matri,26,€16.50m,11/12,Italy,€15.50m,Centre-Forward,Cagliari,Serie A,Juventus,Serie A,False,15.5
273,24,Mirko Vučinić,27,€22.00m,11/12,Montenegro,€15.00m,Centre-Forward,Roma,Serie A,Juventus,Serie A,False,15.0
274,25,Romelu Lukaku,18,€15.00m,11/12,"Belgium, DR Congo",€15.00m,Centre-Forward,RSC Anderlecht,JPL,Chelsea,Premier League,False,15.0
275,26,Domenico Criscito,24,€12.50m,11/12,Italy,€15.00m,Left-Back,Genoa,Serie A,Zenit S-Pb,Russia,False,15.0
276,27,Yuriy Zhirkov,27,€12.00m,11/12,Russia,€15.00m,Left Midfield,Chelsea,Premier League,Anzhi,Russia,False,15.0
277,28,Balázs Dzsudzsák,24,€14.00m,11/12,Hungary,€14.00m,Attacking Midfield,PSV,Eredivisie,Anzhi,Russia,False,14.0
278,29,André Schürrle,20,€12.50m,11/12,Germany,€14.00m,Left Winger,Mainz,Bundesliga,Leverkusen,Bundesliga,False,14.0
279,30,Christopher Samba,27,€12.00m,11/12,"Congo, France",€14.00m,Centre-Back,Blackburn,Premier League,Anzhi,Russia,False,14.0
280,31,Alex Oxlade-Chamberlain,17,€2.50m,11/12,England,€13.80m,Central Midfield,Southampton,Championship,Arsenal,Premier League,False,13.8
281,32,Raúl Meireles,28,€16.00m,11/12,Portugal,€13.50m,Central Midfield,Liverpool,Premier League,Chelsea,Premier League,False,13.5
282,33,Jérôme Boateng,22,€15.00m,11/12,Germany,€13.50m,Centre-Back,Man City,Premier League,Bayern Munich,Bundesliga,False,13.5
283,34,Pizzi,22,€7.50m,11/12,Portugal,€13.50m,Attacking Midfield,Braga,Liga ZON Sagres,Atlético,LaLiga,False,13.5
284,35,Eduardo Vargas,22,€6.00m,11/12,Chile,€13.50m,Centre-Forward,U. de Chile,Torneo Clausura,Napoli,Serie A,False,13.5
285,36,Arda Turan,24,€15.50m,11/12,Türkiye,€13.00m,Left Winger,Galatasaray,Süper Lig,Atlético,LaLiga,False,13.0
286,37,Danilo,19,€5.00m,11/12,Brazil,€13.00m,Centre-Back,Santos,Série A,Porto,Liga ZON Sagres,False,13.0
287,38,Roman Eremenko,24,€6.50m,11/12,"Finland, Russia",€12.90m,Attacking Midfield,Dynamo Kyiv,Premier Liga,Rubin Kazan,Russia,False,12.9
288,39,Arturo Vidal,24,€20.00m,11/12,Chile,€12.50m,Central Midfield,Leverkusen,Bundesliga,Juventus,Serie A,False,12.5
289,40,Edinson Cavani,24,€24.50m,11/12,"Uruguay, Italy",€12.00m,Centre-Forward,US Palermo,Serie A,Napoli,Serie A,False,12.0
290,41,Mikel Arteta,29,€15.00m,11/12,Spain,€12.00m,Central Midfield,Everton,Premier League,Arsenal,Premier League,False,12.0
291,42,Gervinho,24,€15.00m,11/12,Cote d'Ivoire,€12.00m,Left Winger,Lille,Ligue 1,Arsenal,Premier League,False,12.0
292,43,Bojan Krkic,20,€15.00m,11/12,"Spain, Serbia",€12.00m,Second Striker,Barcelona,LaLiga,Roma,Serie A,False,12.0
293,44,Papiss Demba Cissé,26,€13.50m,11/12,"Senegal, France",€12.00m,Centre-Forward,Freiburg,Bundesliga,Newcastle,Premier League,False,12.0
294,45,Bryan Ruiz,26,€12.50m,11/12,Costa Rica,€12.00m,Attacking Midfield,Twente FC,Eredivisie,Fulham,Premier League,False,12.0
295,46,Stefan Savic,20,€6.00m,11/12,"Montenegro, Serbia",€12.00m,Centre-Back,Partizan,Jelen SuperLiga,Man City,Premier League,False,12.0
296,47,Ricardo Álvarez,23,€3.50m,11/12,"Argentina, Italy",€12.00m,Central Midfield,Vélez Sarsfield,Clausura,Inter,Serie A,False,12.0
297,48,Sebastián Coates,20,€2.50m,11/12,"Uruguay, Spain",€12.00m,Centre-Back,Nacional,Liga AUF Clausura,Liverpool,Premier League,False,12.0
298,49,Thiago Motta,29,€15.00m,11/12,"Italy, Brazil",€11.50m,Defensive Midfield,Inter,Serie A,PSG,Ligue 1,False,11.5
299,50,Per Mertesacker,26,€12.50m,11/12,Germany,€11.30m,Centre-Back,Werder Bremen,Bundesliga,Arsenal,Premier League,False,11.3
300,51,Peter Crouch,30,€10.00m,11/12,"England, Ireland",€11.30m,Centre-Forward,Tottenham,Premier League,Stoke City,Premier League,False,11.3
301,52,Jérémy Toulalan,27,€18.00m,11/12,France,€11.00m,Defensive Midfield,Lyon,Ligue 1,Málaga CF,LaLiga,False,11.0
302,53,Kévin Gameiro,24,€13.50m,11/12,France,€11.00m,Centre-Forward,FC Lorient,Ligue 1,PSG,Ligue 1,False,11.0
303,54,Miralem Pjanić,21,€9.00m,11/12,"Bosnia-Herzegovina, Luxembourg",€11.00m,Central Midfield,Lyon,Ligue 1,Roma,Serie A,False,11.0
304,55,Raphaël Varane,18,€4.00m,11/12,"France, Martinique",€11.00m,Centre-Back,Lens,Ligue 2,Real Madrid,LaLiga,False,11.0
305,56,Charles N'Zogbia,25,€9.00m,11/12,"France, DR Congo",€10.80m,Right Winger,Wigan,Premier League,Aston Villa,Premier League,False,10.8
306,57,Fabio Quagliarella,28,€17.50m,11/12,Italy,€10.50m,Centre-Forward,Napoli,Serie A,Juventus,Serie A,False,10.5
307,58,Kevin-Prince Boateng,24,€15.00m,11/12,"Ghana, Germany",€10.50m,Attacking Midfield,Genoa,Serie A,AC Milan,Serie A,False,10.5
308,59,Nuri Şahin,22,€20.00m,11/12,"Türkiye, Germany",€10.00m,Defensive Midfield,Dortmund,Bundesliga,Real Madrid,LaLiga,False,10.0
309,60,Marco Borriello,29,€13.00m,11/12,Italy,€10.00m,Centre-Forward,AC Milan,Serie A,Roma,Serie A,False,10.0
310,61,Vágner Love,27,€12.00m,11/12,Brazil,€10.00m,Centre-Forward,CSKA Moscow,Russia,Flamengo,Série A,False,10.0
311,62,Moussa Sow,26,€12.00m,11/12,"Senegal, France",€10.00m,Centre-Forward,Lille,Ligue 1,Fenerbahçe,Süper Lig,False,10.0
312,63,Emmanuel Emenike,24,€6.00m,11/12,Nigeria,€10.00m,Centre-Forward,Fenerbahçe,Süper Lig,Spartak Moscow,Russia,False,10.0
313,64,Stephan Lichtsteiner,27,€9.00m,11/12,Switzerland,€9.90m,Right-Back,Lazio,Serie A,Juventus,Serie A,False,9.9
314,65,Alex Sandro,20,€1.80m,11/12,Brazil,€9.60m,Left-Back,CD Maldonado,Segunda División,Porto,Liga ZON Sagres,False,9.6
315,66,Wilson Palacios,26,€14.00m,11/12,Honduras,€9.00m,Defensive Midfield,Tottenham,Premier League,Stoke City,Premier League,False,9.0
316,67,Eljero Elia,24,€12.50m,11/12,"Netherlands, Suriname",€9.00m,Left Winger,Hamburg,Bundesliga,Juventus,Serie A,False,9.0
317,68,Christian Träsch,23,€10.00m,11/12,Germany,€9.00m,Defensive Midfield,Stuttgart,Bundesliga,Wolfsburg,Bundesliga,False,9.0
318,69,Axel Witsel,22,€10.00m,11/12,"Belgium, Martinique",€9.00m,Defensive Midfield,Standard Liège,JPL,Benfica,Liga ZON Sagres,False,9.0
319,70,Cristian Zapata,24,€9.00m,11/12,Colombia,€9.00m,Centre-Back,Udinese,Serie A,Villarreal,LaLiga,False,9.0
320,71,Dimitri Payet,24,€9.00m,11/12,"France, Réunion",€9.00m,Attacking Midfield,Saint-Étienne,Ligue 1,Lille,Ligue 1,False,9.0
321,72,Sébastien Frey,31,€8.50m,11/12,France,€9.00m,Goalkeeper,Fiorentina,Serie A,Genoa,Serie A,False,9.0
322,73,Roman Pavlyuchenko,30,€8.50m,11/12,Russia,€9.00m,Centre-Forward,Tottenham,Premier League,Loko Moskau,Russia,False,9.0
323,74,Emmanuel Emenike,24,€6.00m,11/12,Nigeria,€9.00m,Centre-Forward,Kardemir Karabük,Süper Lig,Fenerbahçe,Süper Lig,False,9.0
324,75,Brown Ideye,22,€6.00m,11/12,Nigeria,€9.00m,Centre-Forward,FC Sochaux,Ligue 1,Dynamo Kyiv,Premier Liga,False,9.0
325,76,Blerim Dzemaili,25,€5.00m,11/12,"Switzerland, Albania",€9.00m,Central Midfield,Parma,Serie A,Napoli,Serie A,False,9.0
326,77,Connor Wickham,18,€4.00m,11/12,"England, Northern Ireland",€9.00m,Centre-Forward,Ipswich,Championship,Sunderland,Premier League,False,9.0
327,78,Miguel Britos,26,€3.50m,11/12,Uruguay,€9.00m,Centre-Back,Bologna,Serie A,Napoli,Serie A,False,9.0
328,79,Thibaut Courtois,19,€4.00m,11/12,Belgium,€8.95m,Goalkeeper,Genk,JPL,Chelsea,Premier League,False,8.95
329,80,Elias,26,€7.00m,11/12,Brazil,€8.85m,Central Midfield,Atlético,LaLiga,Sporting,Liga ZON Sagres,False,8.85
330,81,Roberto,25,€5.60m,11/12,Spain,€8.60m,Goalkeeper,Benfica,Liga ZON Sagres,Real Zaragoza,LaLiga,False,8.6
331,82,Emiliano Viviano,26,€10.00m,11/12,Italy,€8.50m,Goalkeeper,Inter,Serie A,US Palermo,Serie A,False,8.5
332,83,Ricardo Rodríguez,19,€7.50m,11/12,"Switzerland, Chile",€8.50m,Left-Back,FC Zürich,Super League,Wolfsburg,Bundesliga,False,8.5
333,84,Gary Cahill,26,€13.00m,11/12,England,€8.40m,Centre-Back,Bolton,Premier League,Chelsea,Premier League,False,8.4
334,85,Charlie Adam,25,€4.50m,11/12,Scotland,€8.40m,Central Midfield,Blackpool,Championship,Liverpool,Premier League,False,8.4
335,86,Darío Conca,28,€6.00m,11/12,Argentina,€8.20m,Attacking Midfield,Fluminense,Série A,GZ Evergrande,Super League,False,8.2
336,87,Alberto Gilardino,29,€16.00m,11/12,Italy,€8.00m,Centre-Forward,Fiorentina,Serie A,Genoa,Serie A,False,8.0
337,88,Jérémy Ménez,24,€15.00m,11/12,France,€8.00m,Centre-Forward,Roma,Serie A,PSG,Ligue 1,False,8.0
338,89,Kevin De Bruyne,20,€9.00m,11/12,Belgium,€8.00m,Attacking Midfield,Genk,JPL,Chelsea,Premier League,False,8.0
339,90,Blaise Matuidi,24,€8.00m,11/12,"France, Angola",€8.00m,Central Midfield,Saint-Étienne,Ligue 1,PSG,Ligue 1,False,8.0
340,91,Víctor Ruiz,22,€8.00m,11/12,Spain,€8.00m,Centre-Back,Napoli,Serie A,Valencia,LaLiga,False,8.0
341,92,Christian Noboa,26,€8.00m,11/12,"Ecuador, Russia",€8.00m,Central Midfield,Rubin Kazan,Russia,Dinamo Moscow,Russia,False,8.0
342,93,Mohamed Sissoko,26,€7.50m,11/12,"Mali, France",€8.00m,Defensive Midfield,Juventus,Serie A,PSG,Ligue 1,False,8.0
343,94,José Enrique,25,€7.50m,11/12,Spain,€8.00m,Left-Back,Newcastle,Premier League,Liverpool,Premier League,False,8.0
344,95,Sílvio,23,€7.50m,11/12,Portugal,€8.00m,Right-Back,Braga,Liga ZON Sagres,Atlético,LaLiga,False,8.0
345,96,Christian Benítez,25,€6.50m,11/12,Ecuador,€8.00m,Centre-Forward,Santos Laguna,Primera Apertura,América,Primera Apertura,False,8.0
346,97,Georginio Wijnaldum,20,€6.50m,11/12,"Netherlands, Suriname",€8.00m,Central Midfield,Feyenoord,Eredivisie,PSV,Eredivisie,False,8.0
347,98,Roger Johnson,28,€5.00m,11/12,England,€8.00m,Centre-Back,Birmingham,Championship,Wolves,Premier League,False,8.0
348,99,Jonathan de Guzmán,23,€5.00m,11/12,"Netherlands, Canada",€8.00m,Central Midfield,RCD Mallorca,LaLiga,Villarreal,LaLiga,False,8.0
349,100,Nolan Roux,23,€4.75m,11/12,France,€8.00m,Centre-Forward,Stade Brestois,Ligue 1,Lille,Ligue 1,False,8.0
350,101,Matías Silvestre,26,€3.50m,11/12,"Argentina, Italy",€8.00m,Centre-Back,Catania,Serie A,US Palermo,Serie A,False,8.0
